{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4200, 'end': 4400, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.37631, 'sum-sq-ratio': 219.58926, 'sample-size': 200, 'sum-start': 140.0, 'sum-end': 140.0, 'sum-cov': 140.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4400, 'end': 4600, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.42838, 'sum-sq-ratio': 219.73094, 'sample-size': 200, 'sum-start': 145.0, 'sum-end': 145.0, 'sum-cov': 145.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4600, 'end': 4800, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.09665, 'sum-sq-ratio': 218.96124, 'sample-size': 200, 'sum-start': 142.0, 'sum-end': 142.0, 'sum-cov': 142.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 4800, 'end': 5000, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.91437, 'sum-sq-ratio': 220.68658, 'sample-size': 200, 'sum-start': 142.0, 'sum-end': 142.0, 'sum-cov': 142.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5000, 'end': 5200, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.72632, 'sum-sq-ratio': 220.36449, 'sample-size': 200, 'sum-start': 148.0, 'sum-end': 148.0, 'sum-cov': 148.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5200, 'end': 5400, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.46146, 'sum-sq-ratio': 219.81923, 'sample-size': 200, 'sum-start': 158.0, 'sum-end': 158.0, 'sum-cov': 158.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5400, 'end': 5600, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.79231, 'sum-sq-ratio': 220.40585, 'sample-size': 200, 'sum-start': 146.0, 'sum-end': 146.0, 'sum-cov': 146.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5600, 'end': 5800, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.67308, 'sum-sq-ratio': 220.2879, 'sample-size': 200, 'sum-start': 147.0, 'sum-end': 147.0, 'sum-cov': 147.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 5800, 'end': 6000, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 210.1919, 'sum-sq-ratio': 221.31308, 'sample-size': 200, 'sum-start': 133.0, 'sum-end': 133.0, 'sum-cov': 133.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6000, 'end': 6200, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.27748, 'sum-sq-ratio': 219.38228, 'sample-size': 200, 'sum-start': 149.0, 'sum-end': 149.0, 'sum-cov': 149.0}
{'expt': 'sensr', 'lr': 0.005, 'step': 500, 'start': 6200, 'end': 6400, 'seed-data': 98539, 'seed-model': 77708, 'sum-ratio': 209.57567, 'sum-sq-ratio': 220.03185, 'sample-size': 200, 'sum-start': 143.0, 'sum-end': 143.0, 'sum-cov': 143.0}
